,,,MNI coordinates,,,,
Channel No,Source,Detector,X,Y,Z,label name,Brain Region Full Name
1,1,1,63,24,17,Frontal_Inf_Tri_R,"Right Inferior Frontal Gyrus, Triangular Part"
2,4,1,44,26,28,Frontal_Inf_Tri_R,"Right Inferior Frontal Gyrus, Triangular Part"
3,3,1,,,,SSC,Short-separation channel
4,1,2,48,41,14,Frontal_Inf_Tri_R,"Right Inferior Frontal Gyrus, Triangular Part"
5,2,2,20,56,14,Frontal_Sup_Medial_R,Right Superior Medial Frontal Gyrus
6,4,2,29,35,27,Frontal_Mid_R,Right Middle Frontal Gyrus
7,5,2,29,45,27,Frontal_Mid_R,Right Middle Frontal Gyrus
8,4,3,20,26,38,Frontal_Sup_R,Right Superior Frontal Gyrus
9,5,3,19,36,38,Frontal_Sup_R,Right Superior Frontal Gyrus
10,2,4,8,50,24,Frontal_Sup_Medial_R,Right Superior Medial Frontal Gyrus
11,5,4,17,52,26,Frontal_Sup_R,Right Superior Frontal Gyrus
12,6,4,1,51,22,Frontal_Mid_L,Left Middle Frontal Gyrus
13,7,4,-2,55,13,Frontal_Sup_Medial_L,Left Superior Medial Frontal Gyrus
14,5,5,14,45,31,Frontal_Sup_R,Right Superior Frontal Gyrus
15,6,5,-3,44,28,Frontal_Sup_L,Left Superior Frontal Gyrus
16,6,6,-19,46,19,Frontal_Mid_L,Left Middle Frontal Gyrus
17,7,6,-21,50,10,Frontal_Sup_Medial_L,Left Superior Medial Frontal Gyrus
18,8,6,-28,38,20,Frontal_Mid_L,Left Middle Frontal Gyrus
19,9,6,-41,44,10,Frontal_Inf_Tri_L,"Left Inferior Frontal Gyrus, Triangular Part"
20,6,7,-10,36,35,Frontal_Sup_Medial_L,Left Superior Medial Frontal Gyrus
21,8,7,-19,28,36,Frontal_Mid_L,Left Middle Frontal Gyrus
22,8,8,-36,31,25,Frontal_Inf_Tri_L,"Left Inferior Frontal Gyrus, Triangular Part"
23,9,8,-48,37,15,Frontal_Inf_Tri_L,"Left Inferior Frontal Gyrus, Triangular Part"
24,10,8,,,,SSC,Short-separation channel
